timestamp,value
0,9999.947022270002
1,9999.94643107
2,9999.948244570001
3,9999.94520897
4,9999.95064957
5,9999.95213757
6,9999.954857570001
7,9999.950943570002
8,9999.948834570001
9,9999.949131570002
10,9999.948244570001
11,9999.947327770002
12,9999.94520897
13,9999.944026170002
14,9999.944026170002
15,9999.941611670001
16,9999.939502870002
17,9999.940104070001
18,9999.941611670001
19,9999.942794370001
20,9999.94071477
21,9999.94071477
22,9999.939808170002
23,9999.93708827
24,9999.936496970002
25,9999.932574670001
26,9999.937384070001
27,9999.93708827
28,9999.94071477
29,9999.94341537
30,9999.94341537
31,9999.942794370001
32,9999.94491317
33,9999.94581977
34,9999.942222770002
35,9999.939808170002
36,9999.940104070001
37,9999.941325970001
38,9999.94071477
39,9999.941325970001
40,9999.94071477
41,9999.940104070001
42,9999.94581977
43,9999.944026170002
44,9999.940104070001
45,9999.93470327
46,9999.937699270002
47,9999.93561007
48,9999.936496970002
49,9999.936496970002
50,9999.93470327
51,9999.929568970001
52,9999.932269070001
53,9999.934102170002
54,9999.936496970002
55,9999.937384070001
56,9999.939808170002
57,9999.94462747
58,9999.942794370001
59,9999.940104070001
60,9999.93889167
61,9999.94071477
62,9999.94520897
63,9999.95003757
64,9999.949721570001
65,9999.947644570002
66,9999.94643107
67,9999.943109670001
68,9999.944026170002
69,9999.94643107
70,9999.948834570001
71,9999.954857570001
72,9999.95064957
73,9999.95003757
74,9999.948834570001
75,9999.95064957
76,9999.950943570002
77,9999.951544570002
78,9999.95515157
79,9999.956660570002
80,9999.95213757
81,9999.953949570001
82,9999.953949570001
83,9999.953349570002
84,9999.952431570002
85,9999.95515157
86,9999.95996157
87,9999.959064570001
88,9999.96206157
89,9999.95996157
90,9999.960899570002
91,9999.95273857
92,9999.954857570001
93,9999.957262570002
94,9999.96026657
95,9999.95845557
96,9999.95635557
97,9999.95845557
98,9999.960899570002
99,9999.959645570001
100,9999.959645570001
101,9999.95635557
102,9999.954857570001
103,9999.957262570002
104,9999.95786457
105,9999.95996157
106,9999.959645570001
107,9999.959645570001
108,9999.96179257
109,9999.959064570001
110,9999.953949570001
111,9999.950943570002
112,9999.952431570002
113,9999.950943570002
114,9999.94643107
115,9999.948244570001
116,9999.950943570002
117,9999.949721570001
118,9999.947644570002
119,9999.941611670001
120,9999.940104070001
121,9999.94071477
122,9999.942222770002
123,9999.94462747
124,9999.939808170002
125,9999.930475570001
126,9999.92808087
127,9999.930781070001
128,9999.93379667
129,9999.928977570002
130,9999.928977570002
131,9999.932269070001
132,9999.933185570002
133,9999.92986467
134,9999.930781070001
135,9999.932269070001
136,9999.930781070001
137,9999.928386270001
138,9999.93196347
139,9999.929568970001
140,9999.929568970001
141,9999.930475570001
142,9999.928386270001
143,9999.926257570001
144,9999.926257570001
145,9999.925656370002
146,9999.920847270001
147,9999.920847270001
148,9999.926257570001
149,9999.927775270002
150,9999.925656370002
151,9999.927775270002
152,9999.928386270001
153,9999.932269070001
154,9999.933185570002
155,9999.93196347
156,9999.928386270001
157,9999.930475570001
158,9999.92986467
159,9999.92986467
160,9999.929568970001
161,9999.926553270001
162,9999.927164370001
163,9999.925656370002
164,9999.919625170001
165,9999.92267037
166,9999.92145827
167,9999.92267037
168,9999.922059370001
169,9999.92267037
170,9999.923261670001
171,9999.92267037
172,9999.92145827
173,9999.92267037
174,9999.927775270002
175,9999.928977570002
176,9999.927775270002
177,9999.925055270001
178,9999.92474987
179,9999.92145827
180,9999.915426970001
181,9999.910617570002
182,9999.911514370002
183,9999.913318070001
184,9999.91270697
185,9999.90760197
186,9999.912125370001
187,9999.910617570002
188,9999.911218870002
189,9999.908814270002
190,9999.907917470002
191,9999.907917470002
192,9999.906705370002
193,9999.903088370002
194,9999.902792870002
195,9999.903088370002
196,9999.904596170001
197,9999.90610417
198,9999.906705370002
199,9999.907917470002
200,9999.912125370001
201,9999.913032170001
202,9999.915426970001
203,9999.916333570001
204,9999.91513137
205,9999.915426970001
206,9999.912125370001
207,9999.913032170001
208,9999.913318070001
209,9999.913318070001
210,9999.913318070001
211,9999.91513137
212,9999.91513137
213,9999.914520470002
214,9999.91390947
215,9999.913032170001
216,9999.913318070001
217,9999.912125370001
218,9999.91270697
219,9999.910617570002
220,9999.909425270002
221,9999.90820327
222,9999.909701170001
223,9999.909701170001
224,9999.90760197
225,9999.90820327
226,9999.906990970001
227,9999.906990970001
228,9999.906705370002
229,9999.905187670001
230,9999.904596170001
231,9999.903088370002
232,9999.90429077
233,9999.904596170001
234,9999.903689670002
235,9999.904596170001
236,9999.902191870002
237,9999.90159047
238,9999.902191870002
239,9999.903689670002
240,9999.904596170001
241,9999.904596170001
242,9999.903088370002
243,9999.902792870002
244,9999.90429077
245,9999.904596170001
246,9999.904596170001
247,9999.903088370002
248,9999.903689670002
249,9999.902792870002
250,9999.903088370002
251,9999.903088370002
252,9999.903689670002
253,9999.904596170001
254,9999.905187670001
255,9999.905483370001
256,9999.907917470002
257,9999.906705370002
258,9999.904596170001
259,9999.904596170001
260,9999.90820327
261,9999.911218870002
262,9999.910321970001
263,9999.910617570002
264,9999.909425270002
265,9999.906990970001
266,9999.906990970001
267,9999.906990970001
268,9999.906705370002
269,9999.906705370002
270,9999.90610417
271,9999.905483370001
272,9999.903689670002
273,9999.903689670002
274,9999.90429077
275,9999.903689670002
276,9999.906990970001
277,9999.90760197
278,9999.909701170001
279,9999.911218870002
280,9999.91513137
281,9999.915742170002
282,9999.91390947
283,9999.912125370001
284,9999.91513137
285,9999.91513137
286,9999.916333570001
287,9999.91513137
288,9999.91513137
289,9999.914520470002
290,9999.918738270002
291,9999.91724027
292,9999.91724027
293,9999.917545970002
294,9999.91724027
295,9999.919625170001
296,9999.920847270001
297,9999.924463970001
298,9999.92267037
299,9999.922059370001
300,9999.920236070002
301,9999.92267037
302,9999.922059370001
303,9999.922059370001
